alert_id,alert_start,alert_end,nb_anomalies,worst_score,duration,date,density,severity,severity_score,egauge,register,alert_type
27,2026-05-13T01:30:41.000Z,2026-05-13T01:30:53.000Z,4,-0.0305830781857494,12.0,2026-05-13,0.3333333055555579,MEDIUM,5.209174923455724,egauge90773,i11,Production Anomaly
28,2026-05-13T01:43:09.000Z,2026-05-13T01:43:10.000Z,2,-0.0070608916480399,1.0,2026-05-13,1.9999980000020001,MEDIUM,1.102118267494412,egauge90773,i11,Production Anomaly
29,2026-05-13T02:00:47.000Z,2026-05-13T02:21:36.000Z,13,-0.0504708169816431,1249.0,2026-05-13,0.010408326652995735,MEDIUM,379.91514124509445,egauge90773,i11,Production Anomaly
30,2026-05-13T02:39:13.000Z,2026-05-13T03:04:09.000Z,18,-0.0949831571441484,1496.0,2026-05-13,0.012032085553454487,MEDIUM,456.02849494714326,egauge90773,i11,Production Anomaly
31,2026-05-13T03:17:39.000Z,2026-05-13T03:17:39.000Z,1,0.0044122752877051,0.0,2026-05-13,1000000.0,MEDIUM,0.40132368258631157,egauge90773,i11,Production Anomaly
32,2026-05-13T03:32:04.000Z,2026-05-13T03:42:48.000Z,4,-0.0471788964486123,644.0,2026-05-13,0.0062111801145789125,MEDIUM,194.81415366893458,egauge90773,i11,Production Anomaly
33,2026-05-13T03:57:14.000Z,2026-05-13T03:58:15.000Z,3,6.726702936540874E-4,61.0,2026-05-13,0.049180327062617595,LOW,19.500201801088096,egauge90773,i11,Production Anomaly
34,2026-05-13T04:11:54.000Z,2026-05-13T04:11:54.000Z,1,0.0178525219276109,0.0,2026-05-13,1000000.0,MEDIUM,0.40535575657828327,egauge90773,i11,Production Anomaly
35,2026-05-13T04:35:08.000Z,2026-05-13T04:37:17.000Z,2,0.0129694262181751,129.0,2026-05-13,0.015503875848807164,MEDIUM,39.50389082786545,egauge90773,i11,Production Anomaly
36,2026-05-13T05:28:58.000Z,2026-05-13T05:35:37.000Z,2,0.0114036982359062,399.0,2026-05-13,0.005012531315758067,MEDIUM,120.50342110947076,egauge90773,i11,Production Anomaly
37,2026-05-13T05:59:01.000Z,2026-05-13T05:59:24.000Z,4,-0.0081997184413468,23.0,2026-05-13,0.17391303591682453,MEDIUM,8.502459915532404,egauge90773,i11,Production Anomaly
38,2026-05-13T06:23:57.000Z,2026-05-13T06:37:33.000Z,5,-0.0363419883747391,816.0,2026-05-13,0.0061274509728830254,MEDIUM,246.8109025965124,egauge90773,i11,Production Anomaly
39,2026-05-13T06:49:58.000Z,2026-05-13T06:49:58.000Z,1,-0.0335753367279285,0.0,2026-05-13,1000000.0,MEDIUM,0.41007260101837856,egauge90773,i11,Production Anomaly
40,2026-05-13T07:28:13.000Z,2026-05-13T07:28:13.000Z,1,0.0190848978815786,0.0,2026-05-13,1000000.0,MEDIUM,0.4057254693644736,egauge90773,i11,Production Anomaly
41,2026-05-13T07:53:16.000Z,2026-05-13T08:16:45.000Z,8,-0.0347243765815701,1409.0,2026-05-13,0.005677785659561543,MEDIUM,425.91041731297446,egauge90773,i11,Production Anomaly
42,2026-05-13T09:30:30.000Z,2026-05-13T09:48:45.000Z,4,-0.0238727990583466,1095.0,2026-05-13,0.003652968033193636,MEDIUM,330.10716183971755,egauge90773,i11,Production Anomaly
43,2026-05-13T10:14:51.000Z,2026-05-13T10:31:25.000Z,9,-0.0843100936174503,994.0,2026-05-13,0.009054325946625426,MEDIUM,301.82529302808524,egauge90773,i11,Production Anomaly
44,2026-05-13T10:52:29.000Z,2026-05-13T10:52:29.000Z,1,-0.0036075396397873,0.0,2026-05-13,1000000.0,MEDIUM,0.4010822618919362,egauge90773,i11,Production Anomaly
45,2026-05-13T11:10:01.000Z,2026-05-13T11:10:01.000Z,1,0.0186625642467678,0.0,2026-05-13,1000000.0,MEDIUM,0.4055987692740304,egauge90773,i11,Production Anomaly
46,2026-05-13T11:21:50.000Z,2026-05-13T11:22:03.000Z,3,-0.0018625193223696,13.0,2026-05-13,0.23076921301775286,MEDIUM,5.100558755796711,egauge90773,i11,Production Anomaly
47,2026-05-13T11:37:26.000Z,2026-05-13T11:41:57.000Z,2,-0.0498749070658623,271.0,2026-05-13,0.007380073773505263,MEDIUM,82.11496247211976,egauge90773,i11,Production Anomaly
48,2026-05-13T11:53:45.000Z,2026-05-13T11:53:45.000Z,1,0.0131248828812112,0.0,2026-05-13,1000000.0,MEDIUM,0.4039374648643634,egauge90773,i11,Production Anomaly
49,2026-05-13T12:12:52.000Z,2026-05-13T12:23:18.000Z,6,-0.044928823032422,626.0,2026-05-13,0.009584664521430248,MEDIUM,190.21347864690972,egauge90773,i11,Production Anomaly
50,2026-05-13T12:37:53.000Z,2026-05-13T13:00:32.000Z,10,-0.0447572839629469,1359.0,2026-05-13,0.007358351723798122,MEDIUM,411.7134271851889,egauge90773,i11,Production Anomaly
51,2026-05-13T13:13:08.000Z,2026-05-13T13:14:08.000Z,3,-0.0307710637331496,60.0,2026-05-13,0.049999999166666684,LOW,19.209231319119944,egauge90773,i11,Production Anomaly
52,2026-05-13T13:31:28.000Z,2026-05-13T13:31:28.000Z,1,-0.0021023357068746,0.0,2026-05-13,1000000.0,MEDIUM,0.4006307007120624,egauge90773,i11,Production Anomaly
53,2026-05-13T13:54:43.000Z,2026-05-13T13:54:43.000Z,1,0.0166601619438605,0.0,2026-05-13,1000000.0,MEDIUM,0.4049980485831582,egauge90773,i11,Production Anomaly
54,2026-05-24T02:30:50.000Z,2026-05-24T03:08:54.000Z,1008,-0.3322910754992703,2284.0,2026-05-24,0.4413309980554593,HIGH,1088.4996873226498,egauge90773,i11,Production Anomaly
55,2026-06-04T03:24:42.000Z,2026-06-04T04:05:17.000Z,341,-0.2990810580868417,2435.0,2026-06-04,0.14004106770429525,HIGH,866.9897243174261,egauge90773,i11,Production Anomaly
56,2026-06-04T05:00:32.000Z,2026-06-04T05:09:45.000Z,21,-0.3049702433883177,553.0,2026-06-04,0.037974683475633486,HIGH,174.3914910730165,egauge90773,i11,Production Anomaly
57,2026-06-04T05:27:52.000Z,2026-06-04T05:29:03.000Z,2,-0.0276957446092472,71.0,2026-06-04,0.028169013687760373,LOW,22.108308723382777,egauge90773,i11,Production Anomaly
58,2026-06-04T05:50:11.000Z,2026-06-04T05:57:27.000Z,8,-0.0896630677895143,436.0,2026-06-04,0.01834862381112701,MEDIUM,134.02689892033683,egauge90773,i11,Production Anomaly
59,2026-06-04T06:30:57.000Z,2026-06-04T06:30:57.000Z,1,0.0176484804661196,0.0,2026-06-04,1000000.0,MEDIUM,0.4052945441398359,egauge90773,i11,Production Anomaly
60,2026-06-04T06:44:10.000Z,2026-06-04T06:44:10.000Z,1,0.0093186070640143,0.0,2026-06-04,1000000.0,MEDIUM,0.4027955821192043,egauge90773,i11,Production Anomaly
61,2026-06-04T07:29:56.000Z,2026-06-04T07:32:18.000Z,7,-0.0249605496816959,142.0,2026-06-04,0.04929577430073399,MEDIUM,45.40748816490451,egauge90773,i11,Production Anomaly
62,2026-06-04T07:49:14.000Z,2026-06-04T07:51:12.000Z,2,-0.0374302743675603,118.0,2026-06-04,0.016949152398735998,LOW,36.21122908231026,egauge90773,i11,Production Anomaly
63,2026-06-04T08:09:44.000Z,2026-06-04T08:21:02.000Z,4,-0.116126870546358,678.0,2026-06-04,0.005899705006047633,MEDIUM,205.0348380611639,egauge90773,i11,Production Anomaly
64,2026-06-04T08:45:07.000Z,2026-06-04T08:45:07.000Z,1,-0.0501231228176838,0.0,2026-06-04,1000000.0,MEDIUM,0.4150369368453052,egauge90773,i11,Production Anomaly
65,2026-06-04T09:08:36.000Z,2026-06-04T09:11:23.000Z,3,-0.0436816097961688,167.0,2026-06-04,0.017964071748718134,MEDIUM,51.313104482938854,egauge90773,i11,Production Anomaly
66,2026-06-04T09:54:34.000Z,2026-06-04T10:01:52.000Z,5,-0.0031314383137703,438.0,2026-06-04,0.01141552508809241,MEDIUM,133.40093943149412,egauge90773,i11,Production Anomaly
67,2026-06-04T10:31:49.000Z,2026-06-04T10:52:14.000Z,6,-3.192551615799344E-4,1225.0,2026-06-04,0.0048979591796751345,MEDIUM,369.9000957765484,egauge90773,i11,Production Anomaly
68,2026-06-04T11:09:28.000Z,2026-06-04T11:12:49.000Z,2,0.0032373923441954,201.0,2026-06-04,0.009950248706715181,MEDIUM,61.100971217703254,egauge90773,i11,Production Anomaly
69,2026-06-04T11:25:14.000Z,2026-06-04T11:44:34.000Z,25,-0.1156881363982276,1160.0,2026-06-04,0.02155172411935196,MEDIUM,358.0347064409195,egauge90773,i11,Production Anomaly
70,2026-06-04T11:56:58.000Z,2026-06-04T11:56:59.000Z,2,0.0011314192055807,1.0,2026-06-04,1.9999980000020001,MEDIUM,1.1003394257616743,egauge90773,i11,Production Anomaly
71,2026-06-04T12:10:34.000Z,2026-06-04T12:42:31.000Z,20,-0.0693451132177968,1917.0,2026-06-04,0.01043296817400471,MEDIUM,583.1208035339654,egauge90773,i11,Production Anomaly
72,2026-06-04T12:56:18.000Z,2026-06-04T12:56:18.000Z,1,-0.0457106299488215,0.0,2026-06-04,1000000.0,MEDIUM,0.4137131889846465,egauge90773,i11,Production Anomaly
73,2026-06-04T13:16:13.000Z,2026-06-04T13:31:48.000Z,8,-0.0422837032228196,935.0,2026-06-04,0.008556149723469358,MEDIUM,283.71268511096685,egauge90773,i11,Production Anomaly
74,2026-06-04T13:52:05.000Z,2026-06-04T14:47:06.000Z,20,-0.0951985464768842,3301.0,2026-06-04,0.006058770067840421,MEDIUM,998.328559563943,egauge90773,i11,Production Anomaly
75,2026-06-04T15:01:40.000Z,2026-06-04T15:17:51.000Z,9,-0.0661832466696725,971.0,2026-06-04,0.009268795047097019,MEDIUM,294.91985497400094,egauge90773,i11,Production Anomaly
76,2026-06-04T15:29:39.000Z,2026-06-04T15:54:41.000Z,8,-0.0159021509950996,1502.0,2026-06-04,0.005326231687532468,MEDIUM,453.8047706452985,egauge90773,i11,Production Anomaly
77,2026-06-04T16:07:53.000Z,2026-06-04T16:56:10.000Z,19,-0.042749893326569,2897.0,2026-06-04,0.006558508799945286,MEDIUM,876.712824967998,egauge90773,i11,Production Anomaly
78,2026-06-04T17:09:23.000Z,2026-06-04T17:12:31.000Z,3,0.0088358835034187,188.0,2026-06-04,0.015957446723630603,MEDIUM,57.602650765051024,egauge90773,i11,Production Anomaly
79,2026-06-04T17:27:20.000Z,2026-06-04T17:40:10.000Z,7,-0.0471893322613231,770.0,2026-06-04,0.009090909079102715,MEDIUM,233.81415679967841,egauge90773,i11,Production Anomaly
80,2026-06-04T18:01:14.000Z,2026-06-04T18:34:50.000Z,11,-0.0505172193264923,2016.0,2026-06-04,0.0054563492036426835,MEDIUM,609.2151551657979,egauge90773,i11,Production Anomaly
81,2026-06-04T19:02:39.000Z,2026-06-04T19:41:58.000Z,12,-0.0700018861434822,2359.0,2026-06-04,0.005086901227178084,MEDIUM,712.5210005658429,egauge90773,i11,Production Anomaly
82,2026-06-04T19:56:47.000Z,2026-06-04T20:05:41.000Z,10,-0.033056496553027,534.0,2026-06-04,0.0187265917252311,MEDIUM,164.20991694896588,egauge90773,i11,Production Anomaly
83,2026-06-04T20:20:07.000Z,2026-06-04T20:46:02.000Z,12,-0.0668862637205947,1555.0,2026-06-04,0.007717041795680358,MEDIUM,471.3200658791162,egauge90773,i11,Production Anomaly
84,2026-06-04T21:13:19.000Z,2026-06-04T21:31:16.000Z,9,-0.0272211056563799,1077.0,2026-06-04,0.008356545953243689,MEDIUM,326.70816633169693,egauge90773,i11,Production Anomaly
85,2026-06-04T21:46:27.000Z,2026-06-04T22:22:56.000Z,13,-0.1259369301525379,2189.0,2026-06-04,0.005938784830544183,MEDIUM,661.9377810790457,egauge90773,i11,Production Anomaly
86,2026-06-04T22:58:54.000Z,2026-06-04T23:06:12.000Z,2,-0.001696409128741,438.0,2026-06-04,0.004566210035236964,MEDIUM,132.20050892273863,egauge90773,i11,Production Anomaly
87,2026-06-04T23:44:56.000Z,2026-06-04T23:46:41.000Z,2,-0.0184683980372276,105.0,2026-06-04,0.019047618866213156,LOW,32.30554051941117,egauge90773,i11,Production Anomaly
88,2026-06-05T00:00:09.000Z,2026-06-05T00:30:28.000Z,12,-0.0905524403800924,1819.0,2026-06-05,0.00659703133227211,MEDIUM,550.5271657321139,egauge90773,i11,Production Anomaly
89,2026-06-05T01:03:11.000Z,2026-06-05T01:03:11.000Z,1,-0.0093986633596868,0.0,2026-06-05,1000000.0,MEDIUM,0.40281959900790604,egauge90773,i11,Production Anomaly
90,2026-06-05T01:28:02.000Z,2026-06-05T01:30:06.000Z,99,-0.1693001696987573,124.0,2026-06-05,0.798387090335588,MEDIUM,76.85079005090962,egauge90773,i11,Production Anomaly
91,2026-06-06T03:19:07.000Z,2026-06-06T03:44:30.000Z,395,-0.3182981491070211,1523.0,2026-06-06,0.2593565329879471,HIGH,614.9954894447321,egauge90773,i11,Production Anomaly
92,2026-06-06T04:07:09.000Z,2026-06-06T05:03:57.000Z,55,-0.2887994814190857,3408.0,2026-06-06,0.016138497647846684,HIGH,1044.4866398444258,egauge90773,i11,Production Anomaly
93,2026-06-06T05:24:27.000Z,2026-06-06T05:24:27.000Z,1,0.0147357013597215,0.0,2026-06-06,1000000.0,MEDIUM,0.4044207104079165,egauge90773,i11,Production Anomaly
94,2026-06-06T05:45:24.000Z,2026-06-06T05:53:53.000Z,3,0.0141374021392249,509.0,2026-06-06,0.005893909615139667,MEDIUM,153.90424122064175,egauge90773,i11,Production Anomaly
95,2026-06-06T06:06:20.000Z,2026-06-06T06:19:34.000Z,8,-0.0140108357593928,794.0,2026-06-06,0.010075566737940092,MEDIUM,241.4042032507278,egauge90773,i11,Production Anomaly
96,2026-06-06T06:57:24.000Z,2026-06-06T07:04:19.000Z,7,-0.0723702351027709,415.0,2026-06-06,0.016867469838873567,MEDIUM,127.32171107053082,egauge90773,i11,Production Anomaly
97,2026-06-06T07:39:00.000Z,2026-06-06T07:39:00.000Z,1,0.0159973962178471,0.0,2026-06-06,1000000.0,MEDIUM,0.40479921886535414,egauge90773,i11,Production Anomaly
98,2026-06-06T07:56:31.000Z,2026-06-06T08:16:52.000Z,8,-0.0672010170990682,1221.0,2026-06-06,0.0065520065466404525,MEDIUM,369.5201603051297,egauge90773,i11,Production Anomaly
99,2026-06-06T08:30:04.000Z,2026-06-06T08:32:33.000Z,2,-0.0033047220797791,149.0,2026-06-06,0.013422818701860278,MEDIUM,45.500991416623926,egauge90773,i11,Production Anomaly
100,2026-06-06T08:56:08.000Z,2026-06-06T09:15:06.000Z,3,-0.0240931707327525,1138.0,2026-06-06,0.0026362038641158138,MEDIUM,342.6072279512198,egauge90773,i11,Production Anomaly
101,2026-06-06T09:51:23.000Z,2026-06-06T09:51:24.000Z,2,0.0049873218106268,1.0,2026-06-06,1.9999980000020001,MEDIUM,1.1014961965431882,egauge90773,i11,Production Anomaly
102,2026-06-06T10:04:08.000Z,2026-06-06T10:04:08.000Z,1,0.0158464768584501,0.0,2026-06-06,1000000.0,MEDIUM,0.40475394305753504,egauge90773,i11,Production Anomaly
103,2026-06-06T10:35:01.000Z,2026-06-06T10:35:01.000Z,1,0.0024992537854663,0.0,2026-06-06,1000000.0,MEDIUM,0.4007497761356399,egauge90773,i11,Production Anomaly
104,2026-06-06T11:01:45.000Z,2026-06-06T11:14:45.000Z,5,-0.025386601575106,780.0,2026-06-06,0.006410256402038132,MEDIUM,236.00761598047254,egauge90773,i11,Production Anomaly
105,2026-06-06T11:49:19.000Z,2026-06-06T11:49:19.000Z,1,0.0121523893927491,0.0,2026-06-06,1000000.0,MEDIUM,0.40364571681782474,egauge90773,i11,Production Anomaly
106,2026-06-06T12:18:01.000Z,2026-06-06T12:19:47.000Z,3,0.0014689218912837,106.0,2026-06-06,0.0283018865254539,LOW,33.000440676567386,egauge90773,i11,Production Anomaly
107,2026-06-06T12:50:27.000Z,2026-06-06T12:54:00.000Z,2,0.0107101504506224,213.0,2026-06-06,0.009389671317419383,MEDIUM,64.70321304513519,egauge90773,i11,Production Anomaly
108,2026-06-06T13:06:10.000Z,2026-06-06T13:06:11.000Z,2,-0.0265701280958581,1.0,2026-06-06,1.9999980000020001,MEDIUM,1.1079710384287575,egauge90773,i11,Production Anomaly
109,2026-06-06T13:31:03.000Z,2026-06-06T13:31:03.000Z,1,0.0143362791149704,0.0,2026-06-06,1000000.0,MEDIUM,0.40430088373449113,egauge90773,i11,Production Anomaly
110,2026-06-06T13:43:09.000Z,2026-06-06T13:43:09.000Z,1,0.0112808636641546,0.0,2026-06-06,1000000.0,MEDIUM,0.4033842590992464,egauge90773,i11,Production Anomaly
111,2026-06-06T14:04:32.000Z,2026-06-06T14:09:40.000Z,2,-0.0026657693336905,308.0,2026-06-06,0.0064935064724236805,MEDIUM,93.2007997308001,egauge90773,i11,Production Anomaly
