date,alert_id,alert_start,alert_end,duration,egauge,register,alert_type
2026-05-24,0,2026-05-24T02:30:49.000Z,2026-05-24T02:45:49.000Z,900.0,90773,i11,Non efficient
2026-06-07,1,2026-06-07T06:51:21.000Z,2026-06-07T14:11:39.000Z,26418.0,90773,i11,Non efficient
2026-06-17,2,2026-06-17T02:58:43.000Z,2026-06-17T03:13:08.000Z,865.0,90773,i11,Non efficient
2026-06-18,3,2026-06-18T02:51:31.000Z,2026-06-18T03:06:21.000Z,890.0,90773,i11,Non efficient
2026-06-20,4,2026-06-20T02:53:14.000Z,2026-06-20T03:09:27.000Z,973.0,90773,i11,Non efficient
